纟	糹
钅	釒
饣	飠
讠	訁
	
坐	坐 座
钯	鈀
板	板 闆
宝	寶
饱	飽
鸨	鴇
饼	餅
禀	稟
摆	擺 襬
笔	筆
贬	貶
表	表 錶
绑	綁
髈	膀
补	補
卜	卜 蔔
驳	駁
铂	鉑
钹	鈸
鹁	鵓
镈	鎛
袯	襏
别	別 彆
坝	壩
殡	殯
鬓	鬢
膑	臏
摈	擯
髌	髕
办	辦
绊	絆
报	報
鲍	鮑
𬶐	鮡
𬶮	鱚
𬶠	鰊
𬶭	鰶
刨	鉋 刨
并	並 併 竝 并
败	敗
币	幣
毕	畢
闭	閉
毙	斃
铋	鉍
筚	篳
荜	蓽
哔	嗶
跸	蹕
诐	詖
赑	贔
变	變
辩	辯
辫	辮
鳔	鰾
镑	鎊
谤	謗
布	布 佈
钚	鈈
贝	貝
备	備
辈	輩
钡	鋇
狈	狽
惫	憊
夿	羓
宾	賓
滨	濱
濒	瀕
镔	鑌
缤	繽
傧	儐
颁	頒
龅	齙
槟	檳
鲾	鰏
边	邊
编	編
鳊	鯿
笾	籩
标	標
飙	飆
镖	鏢
镳	鑣
贲	賁
锛	錛
拨	撥
剥	剝
钵	缽 鉢
饽	餑
鳖	鱉
瘪	癟
帮	幫
钸	鈽
杯	杯 盃
背	背 揹
鹎	鵯
绷	繃 綳
罢	罷
呗	唄
惨	慘
黪	黲
采	採 采 寀
䌽	綵
残	殘
蚕	蠶
惭	慚
才	纔 才
财	財
词	詞
辞	辭
糍	餈
鹚	鶿
鹾	鹺
从	從
丛	叢
层	層
镲	鑔
产	產
铲	剷 鏟
谄	諂
阐	闡
浐	滻
冁	囅
蒇	蕆
骣	驏
耻	恥
齿	齒
闯	闖
碜	磣
厂	廠 厂
宠	寵
储	儲
础	礎
骋	騁
丑	醜 丑
蝉	蟬
馋	饞
缠	纏
婵	嬋
谗	讒
镵	鑱
侪	儕
驰	馳
床	牀 床
陈	陳
尘	塵
尝	嚐 嘗
肠	腸
场	場
偿	償
苌	萇
虫	蟲
种	种 種
锤	錘
锄	鋤
雏	雛
厨	廚
橱	櫥
刍	芻
蹰	躕
诚	誠
惩	懲
铖	鋮
枨	棖
纯	純
唇	脣
鹑	鶉
莼	蓴
筹	籌
绸	綢
畴	疇
俦	儔
踌	躊
雠	讎
姹	奼
诧	詫
忏	懺
刬	剗
彻	徹
虿	蠆
炽	熾
饬	飭
钏	釧
怆	愴
衬	襯
谶	讖
龀	齔
榇	櫬
辍	輟
龊	齪
畅	暢
怅	悵
铳	銃
处	處
触	觸
绌	絀
锸	鍤
搀	攙
觇	覘
砗	硨
伡	俥
钞	鈔
绰	綽
钗	釵
吃	吃 喫
痴	癡 痴
鸱	鴟
疮	瘡
创	創
鲳	鯧
伥	倀
阊	閶
冲	衝 沖
出	出 齣
折	折 摺
称	稱
撑	撐
蛏	蟶
柽	檉
赪	赬
灿	燦
测	測
册	冊
恻	惻
赐	賜
窜	竄
锉	銼
错	錯
凑	湊
辏	輳
骖	驂
蹿	躥
撺	攛
镩	鑹
仓	倉
舱	艙
苍	蒼
沧	滄
伧	傖
鸧	鶬
聪	聰
葱	蔥
囱	囪
骢	驄
苁	蓯
缞	縗
粗	粗 麤
胆	膽
赕	賧
岛	島
导	導
捣	搗
祷	禱
顶	頂
诋	詆
点	點
缍	綞
亸	嚲
党	黨 党
挡	擋
谠	讜
赌	賭
笃	篤
趸	躉
斗	斗 鬥 鬭
钭	鈄
达	達
跶	躂
鞑	韃
荙	薘
锝	鍀
敌	敵
涤	滌
籴	糴
觌	覿
夺	奪
铎	鐸
叠	疊
谍	諜
鲽	鰈
绖	絰
独	獨
犊	犢
牍	牘
渎	瀆
椟	櫝
黩	黷
诞	誕
惮	憚
膻	膻 羶
盗	盜
帱	幬
订	訂
锭	錠
饤	飣
带	帶
贷	貸
绐	紿
叇	靆
轪	軑
递	遞
缔	締
谛	諦
电	電
垫	墊
淀	淀 澱
断	斷
缎	緞
锻	鍛
簖	籪
吊	吊 弔
钓	釣
窎	窵
铞	銱
堕	墮
饳	飿
档	檔
荡	盪 蕩
砀	碭
动	動
栋	棟
冻	凍
胨	腖
对	對
队	隊
兑	兌
怼	懟
镀	鍍
妒	妒 妬
邓	鄧
镫	鐙
顿	頓
炖	燉
钝	鈍
窦	竇
读	讀
饾	餖
哒	噠
担	擔
殚	殫
郸	鄲
箪	簞
瘅	癉
鱽	魛
钉	釘
呆	獃 呆
镝	鏑
颠	顛
巅	巔
癫	癲
雕	彫 鵰 雕
鲷	鯛
丢	丟
铥	銩
当	當 噹
裆	襠
铛	鐺
筜	簹
珰	璫
东	東
岽	崬
鸫	鶇
灯	燈
吨	噸
镦	鐓
法	法 灋
访	訪
纺	紡
辅	輔
抚	撫
诽	誹
讽	諷
罚	罰
阀	閥
烦	煩
矾	礬
钒	釩
坟	墳
豮	豶
防	防
鲂	魴
绂	紱
辐	輻
凫	鳧
绋	紼
韨	韍
发	髮 發
珐	琺
范	范 範
饭	飯
贩	販
粪	糞
奋	奮
愤	憤
偾	僨
鲼	鱝
负	負
复	復 複
妇	婦
赋	賦
缚	縛
赙	賻
鲋	鮒
讣	訃
驸	駙
鳆	鰒
费	費
废	廢
镄	鐨
凤	鳳
缝	縫
赗	賵
纷	紛
钫	鈁 鍅
肤	膚
麸	麩
飞	飛
绯	緋
鲱	鯡
风	風
峰	峰 峯
丰	豐 丰
锋	鋒
疯	瘋
枫	楓
沣	灃
砜	碸
剐	剮
赶	趕
杆	桿 杆
秆	稈
鳡	鱤
缟	縞
馆	館 舘
广	廣 广
犷	獷
椁	槨
馃	餜
巩	鞏
轨	軌
诡	詭
匦	匭
谷	穀 谷
钴	鈷
蛊	蠱
诂	詁
馉	餶
鲠	鯁
绠	綆
滚	滾
辊	輥
衮	袞
鲧	鯀
绲	緄
磙	滾
钆	釓
阁	閣
镉	鎘
国	國
帼	幗
掴	摑
腘	膕
挂	掛 挂
诖	詿
干	幹 榦 乾 干
赣	贛
绀	紺
个	個 箇
铬	鉻
诰	誥
锆	鋯
盖	蓋
钙	鈣
惯	慣
贯	貫
鹳	鸛
掼	摜
亘	亙 亘
杠	槓 杠
贡	貢
贵	貴
柜	櫃 柜
刿	劌
刽	劊
鳜	鱖
顾	顧
雇	僱 雇
锢	錮
鲴	鯝
够	夠
购	購
构	構
诟	詬
觏	覯
鸹	鴰
尴	尷
搁	擱
鸽	鴿
呙	咼
该	該
赅	賅
关	關
观	觀
鳏	鰥
锅	鍋
埚	堝
蝈	蟈
啯	嘓
刚	剛
钢	鋼
冈	岡
纲	綱
岗	崗
宫	宮
龚	龔
归	歸
规	規
闺	閨
妫	嬀
鬶	鬹
毂	轂
鸪	鴣
轱	軲
赓	賡
鹒	鶊
沟	溝
钩	鉤
缑	緱
过	過
缓	緩
谎	謊
钬	鈥
唝	嗊
毁	毀 燬 譭
划	划 劃
骅	驊
哗	譁 嘩
铧	鏵
韩	韓
阖	闔
核	核 覈
颌	頜
阂	閡
纥	紇
鹖	鶡
龁	齕
蚝	蠔
怀	懷
环	環
锾	鍰
缳	繯
镮	鐶
阛	闤
黄	黃
鳇	鰉
锽	鍠
颃	頏
红	紅
鸿	鴻
闳	閎
黉	黌
纮	紘
荭	葒
回	回 迴
胡	胡 鬍 衚
壶	壺
鹄	鵠
鹕	鶘
鹘	鶻
糊	餬 糊
恒	恆
鸻	鴴
馄	餛
糇	餱
话	話
画	畫
桦	樺
婳	嫿
汉	漢
颔	頷
闬	閈
贺	賀
鹤	鶴
号	號
镐	鎬
灏	灝
颢	顥
坏	壞
骇	駭
换	換
焕	煥
唤	喚
涣	渙
奂	奐
痪	瘓
鲩	鯇
获	獲 穫
货	貨
祸	禍
镬	鑊
讧	訌
哄	鬨 哄
汇	匯 滙 彙
绘	繪
贿	賄
讳	諱
烩	燴
秽	穢
荟	薈
诲	誨
桧	檜
翙	翽
缋	繢
阓	闠
户	戶
沪	滬
护	護
鳠	鱯
鹱	鸌
横	橫
诨	諢
浑	渾
后	後 后
鲎	鱟
铪	鉿
华	華
顸	頇
诃	訶
欢	歡
锪	鍃
轰	轟
辉	輝
挥	揮
晖	暉
珲	琿
诙	詼
翚	翬
袆	褘
轷	軤
阍	閽
贾	賈
钾	鉀
槚	檟
仅	僅
紧	緊
锦	錦
谨	謹
尽	儘 盡
馑	饉
卺	巹
颈	頸
刭	剄
挤	擠
虮	蟣
给	給
鱾	魢
减	減
简	簡
